UniqueID,ItemName,ExpirationDate,RemainingServings2511, lamb, 2023-03-01 00:00:00, 12
5287, falafel, 2023-03-01 00:00:00, 12
6942, beef, 2023-03-01 00:00:00, 7
5279, vegetableMedley, 2023-03-01 00:00:00, 19
7294, olives, 2023-03-01 00:00:00, 2
3340, cucumbers, 2023-03-01 00:00:00, 12
1363, cauliflower, 2023-03-01 00:00:00, 19
6803, peppers, 2023-03-01 00:00:00, 16
7818, spicyHummus, 2023-03-01 00:00:00, 4
5595, chicken, 2023-03-02 00:00:00, 200
7893, lamb, 2023-03-02 00:00:00, 16
4630, pork, 2023-03-02 00:00:00, 16
6964, onions, 2023-03-02 00:00:00, 20
6775, bigTomatoes, 2023-03-02 00:00:00, 20
1975, hummus, 2023-03-02 00:00:00, 20
9473, shreddedLettuce, 2023-03-03 00:00:00, -1
2408, spinach, 2023-03-03 00:00:00, 50
2783, lamb, 2023-03-03 00:00:00, 16
4648, pitaChips, 2023-03-03 00:00:00, 20
7546, redCabbageSlaw, 2023-03-03 00:00:00, 20
219, cupDrink, 2028-02-19 00:00:00, 100
6388, chicken, 2023-03-05 00:00:00, 200
7055, lamb, 2023-03-05 00:00:00, 16
1442, falafel, 2023-03-05 00:00:00, 16
4235, beef, 2023-03-05 00:00:00, 16
1966, couscous, 2023-03-05 00:00:00, 16
6274, hummus, 2023-03-05 00:00:00, 20
81, tzatziki, 2023-03-05 00:00:00, 16
7256, harrisaYogurt, 2023-03-05 00:00:00, 16
3016, straws, 2028-02-21 00:00:00, 500
3543, cupLids, 2028-02-21 00:00:00, 500
8272, lamb, 2023-03-06 00:00:00, 16
3598, pork, 2023-03-06 00:00:00, 16
6688, pickedOnions, 2023-03-06 00:00:00, 20
2609, jalapenoFeta, 2023-03-06 00:00:00, 16
9788, greekVinaigrette, 2023-03-06 00:00:00, 16
9539, yogurtDill, 2023-03-06 00:00:00, 16
7680, cupWater, 2028-02-22 00:00:00, 500
